x, y
80611.50583926632, 8.583171901078629
85026.12666892195, 8.85197394275358
90648.64600144433, 9.206493044157693
95887.28526182278, 9.561012145561806
100477.29957271661, 9.944381001696772
104269.76994062167, 10.266444129028677
108740.64905671217, 10.65258700004161
111775.28721322957, 10.878114409620283
115488.33411793242, 11.19435210570846
119065.69927299817, 11.478688630700022
122087.10018564854, 11.802970969934302
126028.48954705773, 12.077875844340777
129632.32918985754, 12.342794265186575
133504.2230209648, 12.59384261164254
138157.11424022703, 12.971108635045978
147727.64155609213, 13.787501213631508
145493.85665353024, 13.426879279495868
142538.64196021506, 13.143374958967696
149296.25495433557, 14.24632327444716
154293.3145141407, 14.65576787043501
156384.79904513192, 14.291817118445811
160590.93328388178, 14.641897796045178
167914.43845331797, 15.34067214380493
163079.53513088406, 14.892668741013347
176783.39184423033, 15.816970498351772
173579.97882840826, 15.696855654135824
181737.4303614676, 16.46220635896677
187389.73349269078, 16.657219604887814
197661.8347335087, 17.438659596010964
216895.55007230813, 18.51442256568636
216895.55007230813, 18.51442256568636
209317.22795843153, 17.709126046612695
202463.64494627502, 17.585682384543187
90144.01290258885, 8.478314138691497
80246.99104474888, 9.192345568280064
88352.5769354542, 9.465863435247558
96429.48220106991, 8.826360538713688
84868.98408803348, 9.088227543193723
93762.18406773766, 10.026214440596782
87920.16135718032, 9.804293250359466
94064.43373214338, 9.697771079045554
100202.08750131654, 9.47973350963739
96502.28686475889, 10.804603015354171
98860.71672789552, 10.493913349021929
104530.65568791529, 11.014503474453633
110562.41176444995, 10.15455886228403
114533.57523839377, 11.661958546971006
108265.75555535244, 11.44669499244081
144765.160284756, 14.941768804353353
134197.45304020552, 14.231436061268742
133427.48856664644, 13.253873218273359
123654.01401688471, 12.682611087737467
116532.39418694549, 12.199192761670512
125683.719792456, 11.276000610283273
128706.21643651323, 12.888073123032182
133008.31019995236, 11.813604693633172
116971.42837100927, 10.778157406850891
133001.69159416246, 13.458780450592483
142007.40787229504, 13.63021457005081
142400.11181582947, 14.16948306232749
149058.42924047526, 15.083243563129642
156074.151377776, 15.367672555283804
161620.54302971752, 15.309418242846508
154653.3573348761, 13.78907315539569
150991.06213112792, 13.28605179085777
145235.08129583937, 12.845168359586301
164413.59467305802, 15.859043057334263
170522.56781714156, 14.575413906136582
165282.8382334657, 14.401205771800289
160918.97081598744, 14.220340001756876
150717.4930918118, 14.675278441743375
159392.27908044905, 15.00242726301822
179676.09962458204, 15.251903667710003
175857.1640838061, 16.615794316043512
173898.0567699938, 16.249254483501545
168075.88987680618, 16.397386877984953
189003.92138449007, 15.935605867966137
184368.69112962566, 15.62695047921107
182722.86448986895, 15.865330824390988
172572.12941008256, 14.988742122953585
191525.6101904444, 17.509951778374703
191525.6101904444, 17.509951778374703
184646.67257280173, 16.96014202956175
190590.18057213764, 17.250119051471845
195880.65280020278, 16.843263536036766
192072.74826907666, 16.371681006782467
199267.17276270487, 18.20271576056553
193972.28813077978, 17.71522887934422
205921.0777834907, 18.144461448128233
204089.93018161663, 17.087191910972614
213724.41400979031, 18.33993702986227
208036.82543433076, 17.919951177338145
222818.37836512164, 18.792286389296
228152.97463178614, 19.18342248708927
232510.2234434745, 19.461933580837105
236940.27691885183, 19.67386831751374
241688.02347214465, 19.853069678630376
245652.56834029855, 20.29025442339789
256842.42452910022, 20.849865691446325
250896.71032783436, 20.42340713754028
263679.4443100735, 21.332914148862884
268638.9862486433, 21.685214038364624
273839.00419757975, 22.267387294087186
281880.61023231596, 22.48782900972292
289280.2115054313, 22.794450120900812
294555.2403199866, 23.213696236124147
306887.9091085121, 23.859856768365134
315818.61452102574, 24.10489474925217
323866.8391615519, 24.591087090197092
333075.5260172416, 25.080423314670377
342420.99739258934, 25.620616478573044
352212.12155779084, 26.034869367016036
358722.62345312873, 26.56248699680526
367715.1025196815, 27.05367256453052
374373.41994432727, 27.277443098019813
379708.0162109918, 27.786752229614457
387643.72455308953, 28.068962009866244
398873.2923766306, 28.586593186094785
390650.77778363694, 28.41423439501047
401381.74397100514, 28.81535694636442
409350.54534205236, 29.2223973961247
416286.8442098742, 29.49055216766146
426192.6908754341, 29.88557188628388
439312.9737529584, 30.510464971127128
447987.7597415957, 30.944690766691476
455484.4338996296, 31.249277600292196
467014.0451856465, 31.821649336779274
473103.1625123603, 32.040241709163034
485716.0189459919, 32.530502605262306
480577.7746510946, 32.39198679568918
494624.6623392058, 32.921823637380776
503828.9367910356, 33.34476843910806
500248.27105869626, 33.15373128117877
509827.5998386207, 33.70372596431692
517858.1748637071, 33.92953077538339
525946.1111389727, 34.1436847239624
534250.2552033751, 34.47046367658685
543569.2521555633, 34.99752650340048
549792.9478000052, 35.19670077163847
558119.1538837075, 35.4173274215994
565602.5908301616, 35.648680262421806
406705.3092280198, 29.135848131932146
215085.64060058104, 17.858368047047293
210399.66770132736, 18.541885312978227
214013.42646261622, 18.86589025072471
217322.7293575694, 19.16123036806554
227694.08463035265, 19.616908545352832
222463.17985439664, 19.437892118561393
233937.6360921643, 19.903001946433772
238356.6585578918, 20.144896043792446
242936.73376450696, 20.49201777218865
249341.33796720635, 20.77071380026168
258969.20318959013, 21.464217519753298
253826.5464908329, 21.21474111506151
221461.56417819083, 18.04626132144822
225843.08121110883, 18.33235472252916
234392.11368973786, 18.86404090747273
231949.84815326243, 18.713319432436556
241321.79395176983, 19.38352142695325
238277.2352884129, 19.230395805689504
247521.22137498212, 19.71788268691081
252017.46090825848, 20.08849107460713
257678.5750605584, 20.505517977928086
265356.15777684975, 20.794940196862587
