datetime,bon_inflow,tda_inflow,jda_inflow,mcn_inflow
2018-09-07 00:00:00,83.45876786236462,73.4433368000094,74.28980767275404,71.53626706877728
2018-09-07 01:00:00,83.45876786236462,73.4433368000094,74.28980767275404,71.53626706877728
2018-09-07 02:00:00,82.35588916113804,73.64333680000941,75.2160742870711,69.93143421737932
2018-09-07 03:00:00,79.75013175868489,75.54333680000941,76.28980767275404,80.56637850117846
2018-09-07 04:00:00,80.66164656359119,83.2433368000094,82.68980767275403,90.03143421737933
2018-09-07 05:00:00,80.65301045991144,88.4433368000094,86.16354105843698,102.03143421737933
2018-09-07 06:00:00,91.25588916113804,102.94943181917843,102.10787278632603,115.63663851011526
2018-09-07 07:00:00,91.65588916113803,107.4433368000094,106.37174255918202,121.14147136151321
2018-09-07 08:00:00,92.55876786236463,122.12737135243458,121.61607428707109,125.88161993804832
2018-09-07 09:00:00,113.05588916113804,124.05930224758424,122.11607428707084,126.26674994251671
2018-09-07 10:00:00,114.95876786236458,125.04333680000941,122.16354105843722,127.88161993804857
2018-09-07 11:00:00,114.65876786236458,126.7433368000094,124.51607428707085,129.03180565871756
2018-09-07 12:00:00,113.75588916113804,124.14333680000941,122.56192768845905,127.6466756542489
2018-09-07 13:00:00,114.25588916113804,125.34333680000941,122.817687657049,120.33663851011552
2018-09-07 14:00:00,114.05301045991149,124.14333680000941,121.38980767275403,116.9466756542489
2018-09-07 15:00:00,114.05876786236459,126.42737135243458,123.78980767275404,120.38682423078451
2018-09-07 16:00:00,119.85588916113804,127.84333680000941,124.38980767275403,122.37158279391465
2018-09-07 17:00:00,120.05588916113804,124.84333680000941,122.26354105843721,118.68161993804831
2018-09-07 18:00:00,119.75588916113804,123.04943181917858,121.08980767275403,116.87158279391465
2018-09-07 19:00:00,120.85301045991149,126.05552683834759,123.86354105843698,119.48682423078425
2018-09-07 20:00:00,121.15876786236458,127.62505174250207,123.30787278632603,121.89648993358017
2018-09-07 21:00:00,123.45876786236462,129.1555268383476,124.68980767275403,123.02176851458366
2018-09-07 22:00:00,123.35876786236459,124.9372417808404,97.97174255918203,102.20132278497788
2018-09-07 23:00:00,122.05588916113804,96.6555268383476,83.31607428707109,81.38645278944627
2018-09-08 00:00:00,121.65301045991148,88.65741454296591,85.25708757852435,84.32660136598136
2018-09-08 01:00:00,103.25301045991145,79.02925905705291,79.99626115266665,80.88124849671033
2018-09-08 02:00:00,102.15301045991148,77.64333680000941,83.70787278632604,81.76637850117847
2018-09-08 03:00:00,87.95876786236458,78.53114676167122,83.38980767275403,80.10652707771382
2018-09-08 04:00:00,71.05876786236463,79.04333680000941,84.77174255918203,83.02660136598162
2018-09-08 05:00:00,69.85588916113804,84.33724178084023,89.51607428707109,106.99165708218221
2018-09-08 06:00:00,71.05588916113804,92.14943181917857,92.68980767275403,112.22139707324541
2018-09-08 07:00:00,71.26164656359119,114.24943181917843,110.26354105843697,99.70652707771382
2018-09-08 08:00:00,71.66452526481773,117.73724178084039,111.2160742870711,90.27158279391466
2018-09-08 09:00:00,70.76164656359119,116.64943181917842,110.18980767275403,78.90652707771382
2018-09-08 10:00:00,70.25588916113804,98.04711220924605,92.58980767275403,76.1916570821822
2018-09-08 11:00:00,80.67093303900887,83.43346637160374,76.26354105843697,75.68161993804857
